gloss,video_id,xmin,ymin,xmax,ymax,fps,frame_end,frame_start,instance_id,signer_id,source,split,url,variation_id
book,69241,385,37,885,720,25.0,-1,1,0,118,aslbrick,train,http://aslbricks.org/New/ASL-Videos/book.mp4,0
book,65225,190,25,489,370,25.0,-1,1,1,90,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,0
book,68011,262,1,652,480,25.0,-1,1,2,110,valencia-asl,train,https://www.youtube.com/watch?v=0UsjUE-TXns,0
book,68208,123,19,516,358,25.0,60,1,3,113,lillybauer,train,https://www.youtube.com/watch?v=1QOYOZ3g-aY,0
book,68012,95,0,1180,720,25.0,-1,1,4,109,valencia-asl,train,https://www.youtube.com/watch?v=aGtIHKEdCds,0
book,70212,110,25,274,240,25.0,2249,2150,5,121,northtexas,val,https://www.youtube.com/watch?v=hjS0dQDgbjo,0
book,70266,153,38,395,360,25.0,3852,3732,6,121,northtexas,train,https://www.youtube.com/watch?v=WGfiiDgrq1I,0
book,07085,16,2,235,240,25.0,-1,1,7,49,aslpro,train,http://www.aslpro.com/main/b/book_english_grammar.swf,0
book,07086,16,4,239,240,25.0,-1,1,8,49,aslpro,train,http://www.aslpro.com/main/b/book_geography.swf,0
book,07087,8,1,253,240,25.0,-1,1,9,18,aslpro,train,http://www.aslpro.com/main/b/book_geometry.swf,0
book,07069,462,44,949,720,25.0,-1,1,10,31,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,0
book,07088,29,4,227,240,25.0,-1,1,11,18,aslpro,train,http://www.aslpro.com/main/b/book_history.swf,0
book,07089,22,0,226,240,25.0,-1,1,12,18,aslpro,train,http://www.aslpro.com/main/b/book_law.swf,0
book,07090,34,2,229,240,25.0,-1,1,13,18,aslpro,train,http://www.aslpro.com/main/b/book_literature.swf,0
book,07091,23,1,226,240,25.0,-1,1,14,18,aslpro,train,http://www.aslpro.com/main/b/book_math.swf,0
book,07092,31,4,220,240,25.0,-1,1,15,49,aslpro,test,http://www.aslpro.com/main/b/book_medicine.swf,0
book,07093,25,0,220,240,25.0,-1,1,16,18,aslpro,test,http://www.aslpro.com/main/b/book_music.swf,0
book,07068,234,17,524,414,25.0,-1,1,17,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4,0
book,07094,22,2,231,240,25.0,-1,1,18,18,aslpro,val,http://www.aslpro.com/main/b/book_photography.swf,0
book,07095,3,2,260,240,25.0,-1,1,19,18,aslpro,test,http://www.aslpro.com/main/b/book_science.swf,0
book,07096,21,2,228,240,25.0,-1,1,20,18,aslpro,val,http://www.aslpro.com/main/b/book_spelling.swf,0
book,07097,26,3,226,240,25.0,-1,1,21,49,aslpro,train,http://www.aslpro.com/main/b/book.swf,0
book,07070,131,26,526,480,25.0,-1,1,22,59,asldeafined,train,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,0
book,07098,21,3,231,240,25.0,-1,1,23,18,aslpro,val,http://www.aslpro.com/main/b/book_trigonometry.swf,0
book,07099,162,54,528,400,25.0,-1,1,24,12,aslsearch,val,http://www.aslsearch.com/signs/videos/book.mp4,0
book,07071,70,0,268,240,25.0,-1,1,25,14,handspeak,train,https://www.handspeak.com/word/b/book2.mp4,0
book,07072,75,0,270,240,25.0,-1,1,26,14,handspeak,test,https://www.handspeak.com/word/b/book.mp4,0
book,07073,64,0,273,240,25.0,-1,1,27,14,handspeak,train,https://www.handspeak.com/word/b/books-pile.mp4,0
book,67424,128,20,383,360,25.0,-1,1,28,109,asllex,train,https://youtu.be/3-GrhsVs830,0
book,07074,82,11,212,192,25.0,-1,1,29,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,0
book,07075,386,48,942,720,25.0,-1,1,30,5,aslu,train,https://www.youtube.com/watch?v=Kwvw-K6GYW8,0
book,07076,362,43,945,720,25.0,-1,1,31,5,aslu,train,https://www.youtube.com/watch?v=XjWSfh50kAU,0
book,07077,25,4,223,240,25.0,-1,1,32,49,aslpro,train,http://www.aslpro.com/main/b/book_accounting.swf,0
book,07078,28,4,226,240,25.0,-1,1,33,18,aslpro,train,http://www.aslpro.com/main/b/book_algebra.swf,0
book,07079,15,2,238,240,25.0,-1,1,34,49,aslpro,train,http://www.aslpro.com/main/b/book_anatomy.swf,0
book,07080,28,2,226,240,25.0,-1,1,35,18,aslpro,train,http://www.aslpro.com/main/b/book_art_history.swf,0
book,07081,23,2,226,240,25.0,-1,1,36,18,aslpro,train,http://www.aslpro.com/main/b/book_art.swf,0
book,07082,30,3,228,240,25.0,-1,1,37,18,aslpro,train,http://www.aslpro.com/main/b/book_business.swf,0
book,07083,0,3,260,240,25.0,-1,1,38,18,aslpro,val,http://www.aslpro.com/main/b/book_chemistry.swf,0
book,07084,29,4,225,240,25.0,-1,1,39,18,aslpro,train,http://www.aslpro.com/main/b/book_coloring.swf,0
drink,69302,551,68,1350,1080,25.0,-1,1,0,115,aslbrick,val,http://aslbricks.org/New/ASL-Videos/drink.mp4,0
drink,65539,153,11,488,370,25.0,-1,1,1,94,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4,0
drink,70173,142,20,501,480,25.0,5831,5710,2,121,northtexas,val,https://www.youtube.com/watch?v=F5Wef1_PtLk,0
drink,68538,112,13,529,356,25.0,71,1,3,113,lillybauer,val,https://www.youtube.com/watch?v=HZMTQJdBZ9g,0
drink,68042,110,0,1160,720,25.0,-1,1,4,109,valencia-asl,val,https://www.youtube.com/watch?v=KRc_WYI1DgA,0
drink,68660,312,19,908,720,25.0,54,1,5,115,lillybauer,train,https://www.youtube.com/watch?v=Lk2Vws8homw,0
drink,68041,116,0,1166,720,25.0,-1,1,6,109,valencia-asl,train,https://www.youtube.com/watch?v=Nc7rSopCpI8,0
drink,17725,300,63,882,720,25.0,-1,1,7,5,aslu,train,https://www.youtube.com/watch?v=537MWOtCl78,0
drink,17726,318,29,951,720,25.0,-1,1,8,5,aslu,train,https://www.youtube.com/watch?v=6gU3Ln98sWA,0
drink,17727,232,55,838,720,25.0,-1,1,9,65,nabboud,train,https://www.youtube.com/watch?v=Ddd2ZZNFhVI,0
drink,17728,337,0,994,720,25.0,-1,1,10,5,aslu,train,https://www.youtube.com/watch?v=g3rl9_LYqzI,0
drink,17710,196,15,521,414,25.0,-1,1,11,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4,0
drink,17729,350,0,999,720,25.0,-1,1,12,5,aslu,train,https://www.youtube.com/watch?v=i0opsQ2zB1Q,0
drink,17730,334,0,997,720,25.0,-1,1,13,5,aslu,test,https://www.youtube.com/watch?v=k6cNmM9WgUs,0
drink,17731,348,43,933,720,25.0,-1,1,14,5,aslu,train,https://www.youtube.com/watch?v=LqJM7wcUixQ,0
drink,17732,0,4,206,240,25.0,-1,1,15,44,aslpro,train,http://www.aslpro.com/main/d/drink.swf,0
drink,17733,186,63,551,400,25.0,-1,1,16,12,aslsearch,train,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4,0
drink,65540,167,19,480,370,25.0,-1,1,17,94,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4,0
